main.py in 278 Lines: MainThread-17588, 2019-01-19 19:56:09 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-9-10976, 2019-01-19 19:56:10 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
connectionpool.py in 395 Lines: Dummy-9-10976, 2019-01-19 19:56:12 - requests.packages.urllib3.connectionpool - DEBUG:https://api.mybcfuture.com:443 "POST /ns/face HTTP/1.1" 200 None
main.py in 254 Lines: MainThread-17588, 2019-01-19 19:56:12 - root - INFO:To:人脸识别成功：##SC500011

main.py in 278 Lines: MainThread-23576, 2019-01-19 20:04:29 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-8-22976, 2019-01-19 20:04:30 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
connectionpool.py in 395 Lines: Dummy-8-22976, 2019-01-19 20:04:32 - requests.packages.urllib3.connectionpool - DEBUG:https://api.mybcfuture.com:443 "POST /ns/face HTTP/1.1" 500 None
main.py in 246 Lines: MainThread-23576, 2019-01-19 20:04:32 - root - INFO:To:人脸识别失败：##SC500021

main.py in 279 Lines: MainThread-8700, 2019-01-19 20:10:09 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-8-24096, 2019-01-19 20:10:10 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 291 Lines: MainThread-8700, 2019-01-19 20:10:21 - root - INFO:全局错误：{'code': 2001, 'message': '人脸识别失败'}
main.py in 246 Lines: MainThread-8700, 2019-01-19 20:10:21 - root - INFO:To:人脸识别失败：##SC500021

main.py in 279 Lines: MainThread-8700, 2019-01-19 20:10:21 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-9-4432, 2019-01-19 20:10:22 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
connectionpool.py in 395 Lines: Dummy-9-4432, 2019-01-19 20:10:27 - requests.packages.urllib3.connectionpool - DEBUG:https://api.mybcfuture.com:443 "POST /ns/face HTTP/1.1" 200 None
main.py in 255 Lines: MainThread-8700, 2019-01-19 20:10:28 - root - INFO:To:人脸识别成功：##SC500011

main.py in 279 Lines: MainThread-24104, 2019-01-19 20:11:21 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-8-23572, 2019-01-19 20:11:22 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 291 Lines: MainThread-24104, 2019-01-19 20:11:32 - root - INFO:全局错误：{'code': 2001, 'message': '人脸识别失败'}
main.py in 246 Lines: MainThread-24104, 2019-01-19 20:11:32 - root - INFO:To:人脸识别失败：##SC500021

main.py in 279 Lines: MainThread-24104, 2019-01-19 20:11:33 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-9-2320, 2019-01-19 20:11:34 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
connectionpool.py in 395 Lines: Dummy-9-2320, 2019-01-19 20:11:35 - requests.packages.urllib3.connectionpool - DEBUG:https://api.mybcfuture.com:443 "POST /ns/face HTTP/1.1" 200 None
main.py in 255 Lines: MainThread-24104, 2019-01-19 20:11:35 - root - INFO:To:人脸识别成功：##SC500011

main.py in 279 Lines: MainThread-12892, 2019-01-19 20:12:38 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-8-23776, 2019-01-19 20:12:39 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 291 Lines: MainThread-12892, 2019-01-19 20:12:49 - root - INFO:全局错误：{'code': 2001, 'message': '人脸识别失败'}
main.py in 246 Lines: MainThread-12892, 2019-01-19 20:12:49 - root - INFO:To:人脸识别失败：##SC500021

main.py in 279 Lines: MainThread-12892, 2019-01-19 20:12:49 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-9-9752, 2019-01-19 20:12:50 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
connectionpool.py in 395 Lines: Dummy-9-9752, 2019-01-19 20:12:52 - requests.packages.urllib3.connectionpool - DEBUG:https://api.mybcfuture.com:443 "POST /ns/face HTTP/1.1" 200 None
main.py in 255 Lines: MainThread-12892, 2019-01-19 20:12:52 - root - INFO:To:人脸识别成功：##SC500011

main.py in 93 Lines: MainThread-12892, 2019-01-19 20:14:31 - root - INFO:deprecated有人来了，发送##SC500000
给单片机
main.py in 279 Lines: MainThread-12892, 2019-01-19 20:14:32 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-10-6852, 2019-01-19 20:14:33 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
